Date,Price,Open,High,Low,Vol.,Change %
06-01-2025,"77,158","77,317","77,520","76,563",8.02,-0.21%
03-01-2025,"77,317","77,946","77,947","77,260",4.43,-0.51%
02-01-2025,"77,717","77,717","77,717","77,717",,1.07%
01-01-2025,"76,893","76,772","76,930","76,660",0.91,0.19%
31-12-2024,"76,748","76,353","76,830","76,216",5.14,0.64%
30-12-2024,"76,260","76,714","76,775","76,018",6.18,-0.37%
27-12-2024,"76,544","76,928","77,172","76,412",5.92,-0.37%
26-12-2024,"76,827","76,521","76,946","76,521",5.01,0.73%
24-12-2024,"76,270","76,255","76,349","76,088",3.37,0.17%
23-12-2024,"76,144","76,399","76,580","76,002",4.41,-0.36%
20-12-2024,"76,420","75,660","76,680","75,651",5.7,1.02%
19-12-2024,"75,651","76,450","76,450","75,459",7.41,-1.31%
18-12-2024,"76,653","76,887","76,997","76,565",3.8,-0.28%
17-12-2024,"76,871","77,090","77,199","76,486",6.58,-0.25%
16-12-2024,"77,061","77,082","77,399","76,904",4.94,-0.10%
13-12-2024,"77,136","78,086","78,118","77,052",7.75,-1.07%
12-12-2024,"77,969","78,810","79,035","77,691",9.16,-1.31%
11-12-2024,"79,002","78,400","79,120","78,210",13.28,0.85%
10-12-2024,"78,338","77,551","78,367","77,420",7.48,1.10%
09-12-2024,"77,486","76,748","77,800","76,611",7.85,1.13%
06-12-2024,"76,619","76,676","76,842","76,311",5.05,0.55%
05-12-2024,"76,200","76,231","76,231","76,168",0,0.21%
04-12-2024,"76,043","76,022","76,266","75,895",0.01,0.10%
03-12-2024,"75,966","76,079","76,210","75,900",0.03,-0.15%
02-12-2024,"76,079","76,904","76,904","75,534",0.14,-0.39%
29-11-2024,"76,374","76,334","76,595","76,101",1.73,0.86%
28-11-2024,"75,724","75,501","76,000","75,443",2.79,-0.05%
27-11-2024,"75,760","75,659","76,102","75,644",5.69,0.73%
26-11-2024,"75,211","75,376","75,700","74,852",6.85,-0.13%
25-11-2024,"75,311","77,000","77,000","75,168",10.67,-2.97%
22-11-2024,"77,616","77,120","77,685","76,951",7.11,1.20%
21-11-2024,"76,693","76,225","76,765","76,119",7.21,0.87%
20-11-2024,"76,034","75,537","76,174","75,416",3.85,0.59%
19-11-2024,"75,587","75,200","75,860","75,200",7.54,0.72%
18-11-2024,"75,047","74,420","75,193","74,349",6.68,1.49%
15-11-2024,"73,946","74,179","74,284","73,890",2.93,-0.28%
14-11-2024,"74,154","73,995","74,317","73,300",9.96,-0.44%
13-11-2024,"74,482","75,088","75,320","74,340",6.31,-0.56%
12-11-2024,"74,901","75,541","75,579","74,619",9.95,-0.60%
11-11-2024,"75,351","76,968","76,968","75,309",11.43,-2.49%
08-11-2024,"77,272","77,380","77,628","77,025",5.78,-0.18%
07-11-2024,"77,411","76,365","77,459","76,300",6.97,0.99%
06-11-2024,"76,655","78,331","78,593","76,367",16.73,-2.36%
05-11-2024,"78,507","78,211","78,687","78,191",4.75,0.11%
04-11-2024,"78,422","78,541","78,669","78,238",3.58,-0.56%
01-11-2024,"78,867","78,849","78,950","78,673",1.16,0.56%
31-10-2024,"78,430","79,616","79,681","78,243",6.29,-1.64%
30-10-2024,"79,736","79,535","79,775","79,298",5,0.63%
29-10-2024,"79,233","78,643","79,281","78,630",5.21,0.85%
28-10-2024,"78,566","78,320","78,586","78,111",5.63,0.04%
25-10-2024,"78,532","78,048","78,580","77,836",4.82,0.26%
24-10-2024,"78,327","78,156","78,491","77,932",5.26,0.66%
23-10-2024,"77,812","78,477","78,919","77,613",7.7,-1.07%
22-10-2024,"78,656","78,305","78,689","78,189",5.35,0.79%
21-10-2024,"78,039","78,077","78,460","77,868",6.55,0.37%
18-10-2024,"77,749","77,294","77,839","77,294",6.69,0.83%
17-10-2024,"77,107","76,861","77,210","76,620",6.23,0.58%
16-10-2024,"76,664","76,360","76,890","76,360",5.27,0.40%
15-10-2024,"76,360","76,026","76,488","75,766",6.32,0.41%
